Person,Text,Category Truth,Quality Truth,Sentiment Truth,Predicted Category,Predicted Quality,Predicted Sentiment,Thank Customer,Introduce Self,Ask Reason,Ask Accurate Details,Ask Permission,Resolve Issue,Offer Assistance,Thank Again,Farewell,Category Label,Predicted Thank Customer,Predicted Introduce Self,Predicted Ask Reason,Predicted Ask Accurate Details,Predicted Ask Permission,Predicted Resolve Issue,Predicted Offer Assistance,Predicted Thank Again,Predicted Farewell
A,"Hello, Thank you for calling Best Buy.",Greetings,Positive,0.9,0,Positive,0.65,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A,My name is Paul.,Greetings,Positive,0.8,0,Positive,0.65,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A,How can I help you today?,Greetings,Positive,0.8,0,Positive,0.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C,"Hi, My name is John.",Greetings,Positive,0.8,0,Positive,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,I am having problems with my computer.,Problem Investigation,Negative,0.3,2,Negative,0.54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,I am sorry to hear that.,Problem Investigation,Neutral,0.7,2,Neutral,0.67,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,What kind of problems are you having?,Problem Investigation,Neutral,0.6,2,Positive,0.64,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
C,It won't boot up.,Problem Investigation,Negative,0.3,2,Positive,0.51,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
C,"It will power on, but then I get an error.",Problem Investigation,Neutral,0.5,2,Neutral,0.63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,Can you tell me what the error said?,Problem Investigation,Neutral,0.6,2,Positive,0.67,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
C,It said there is no operating system.,Problem Investigation,Neutral,0.5,2,Positive,0.54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
C,I see.,Problem Investigation,Neutral,0.5,2,Positive,0.64,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,It seems your computer did not come preconfigured with Windows.,Problem Investigation,Neutral,0.7,2,Positive,0.67,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
A,"Before we go further, can we verify your account details?",Account Verification,Neutral,0.7,1,Positive,0.58,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
C,Sure,Problem Investigation,Neutral,0.7,2,Positive,0.63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,Can you please tell me your account ID?,Account Verification,Positive,0.8,1,Positive,0.61,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
C,"Yes, my account ID is 30493943",Account Verification,Positive,0.8,1,Positive,0.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A,Thank you sir.,Account Verification,Positive,0.8,1,Positive,0.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A,And can you confirm your date of birth?,Account Verification,Neutral,0.7,1,Positive,0.6,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
C,"It's April 13, 1988.",Account Verification,Neutral,0.7,1,Positive,0.59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C,Thank you again sir.  ,Problem Investigation,Positive,0.8,2,Positive,0.61,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,I see you purchased the Asus laptop September 1st.,Problem Investigation,Positive,0.8,2,Positive,0.63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,This laptop model should have come with windows pre installed,Problem Investigation,Positive,0.8,2,Positive,0.62,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
A,Would you be able to come in today for us to install it for you?,Problem Investigation,Positive,0.8,2,Positive,0.68,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
C,"Yes, I can come in today",Problem Investigation,Positive,0.8,2,Positive,0.63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,Would 3 PM be fine?,Problem Investigation,Positive,0.8,2,Positive,0.64,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
C,I will see you at 3,Problem Investigation,Positive,0.8,2,Positive,0.6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A,Have I resolved all your issues?,Closure,Positive,0.9,3,Positive,0.73,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0
C,"Yes, thank you",Closure,Positive,0.9,3,Positive,0.7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
A,You have a wonderful day sir,Closure,Positive,0.9,3,Positive,0.62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
